DATE,IPGMFN
2007-07-01,103.0619
2007-08-01,106.9439
2007-09-01,108.0266
2007-10-01,107.0868
2007-11-01,106.1423
2007-12-01,104.6156
2008-01-01,103.354
2008-02-01,103.8325
2008-03-01,105.1012
2008-04-01,104.0296
2008-05-01,103.4282
2008-06-01,105.1374
2008-07-01,99.5969
2008-08-01,101.5657
2008-09-01,98.5874
2008-10-01,97.3536
2008-11-01,93.6577
2008-12-01,89.2633
2009-01-01,85.4571
2009-02-01,86.3924
2009-03-01,86.4298
2009-04-01,84.6376
2009-05-01,84.8776
2009-06-01,86.3021
2009-07-01,84.534
2009-08-01,88.1847
2009-09-01,88.8348
2009-10-01,89.1415
2009-11-01,88.7443
2009-12-01,87.2413
2010-01-01,87.6065
2010-02-01,88.568
2010-03-01,91.5161
2010-04-01,91.5333
2010-05-01,93.1997
2010-06-01,95.0265
2010-07-01,91.4264
2010-08-01,94.7166
2010-09-01,94.8197
2010-10-01,94.9283
2010-11-01,93.3702
2010-12-01,92.567
2011-01-01,92.3419
2011-02-01,93.3476
2011-03-01,95.9874
2011-04-01,94.403
2011-05-01,94.9006
2011-06-01,96.9623
2011-07-01,93.7704
2011-08-01,96.8018
2011-09-01,97.4256
2011-10-01,97.6746
2011-11-01,95.9654
2011-12-01,95.4982
2012-01-01,95.7401
2012-02-01,97.3504
2012-03-01,98.7564
2012-04-01,98.078
2012-05-01,98.3081
2012-06-01,100.6065
2012-07-01,96.5035
2012-08-01,99.3298
2012-09-01,99.4641
2012-10-01,98.7066
2012-11-01,97.9189
2012-12-01,97.5416
2013-01-01,96.7959
2013-02-01,98.3717
2013-03-01,99.6866
2013-04-01,99.3483
2013-05-01,99.4104
2013-06-01,101.6493
2013-07-01,96.9526
2013-08-01,100.749
2013-09-01,100.7842
2013-10-01,100.6821
2013-11-01,99.2393
2013-12-01,97.7586
2014-01-01,96.3333
2014-02-01,98.6367
2014-03-01,101.2558
2014-04-01,100.3268
2014-05-01,100.8178
2014-06-01,103.0673
2014-07-01,98.9269
2014-08-01,102.1271
2014-09-01,102.1121
2014-10-01,101.7928
2014-11-01,101.1393
2014-12-01,99.5603
2015-01-01,98.4231
2015-02-01,99.3353
2015-03-01,101.2927
2015-04-01,100.3463
2015-05-01,100.6534
2015-06-01,102.0035
2015-07-01,98.5851
2015-08-01,101.5843
2015-09-01,100.4455
2015-10-01,101.0848
2015-11-01,99.4569
2015-12-01,97.7113
2016-01-01,97.616
2016-02-01,98.8259
2016-03-01,99.6003
2016-04-01,99.8323
